"price" "bedrooms" "bathrooms" "sqft_living" "sqft_lot" "floors" "waterfront" "view" "condition" "grade" "sqft_above" "sqft_basement" "yr_built" "yr_renovated" "zipcode" "sqft_living15" "sqft_lot15" "log10price"
"1" 689999.934942117 3 1.75 1599.68620641114 4399.74875769638 1 0 0 3 7 1031.02209702231 569.5598930946 1941 0 98112 2150.32329155232 4002.38684991204 5.83884904978902
"2" 941499.346067223 5 3.5 3489.08194067046 9679.20626729956 2 0 4 3 9 2457.88467097594 1029.71296393082 1980 0 98177 3079.05942727262 13488.6147206255 5.97382002270691
"3" 583498.750781611 4 1.75 2860.84115396853 48347.9739832464 1 0 0 3 8 1710.29935395473 1150.76195476444 1978 0 98077 2460.78303544666 43558.8504174747 5.76603993059693
"4" 534949.763467642 5 1.5 2240.36451991851 6337.59553743524 1 0 0 3 8 1280.91109612815 961.542914179824 1956 0 98125 1869.46227277137 6377.96939045343 5.72831299982836
"5" 288000.091457405 3 1.75 1660.06757521436 10440.5448020334 1 0 0 3 7 1038.87604242144 620.175811099866 1978 0 98045 1238.73055294096 10377.3874826019 5.45939262567395
"6" 552499.524384837 5 3 2319.6438786796 7230.18668658494 1 0 0 4 8 1369.88651033638 950.475079206899 1986 0 98052 2090.05138825701 7553.41731460214 5.74233190849809
"7" 445001.860684796 3 1.75 1409.94216052948 5098.76847004388 1 0 0 4 7 1109.26663788584 300.03757410612 1954 0 98125 1600.73286954585 7799.39819582103 5.6483618268988
"8" 472500.023169701 3 2 1789.89656325121 6798.22468922293 1 0 0 4 7 1238.38694370927 550.824245767521 1964 0 98133 1470.06113515879 6800.11045109995 5.67440183414152
"9" 600999.202481067 4 2.5 2090.6987823497 6905.83651711795 2 0 0 4 8 2091.96724820725 0 1992 0 98029 2088.8322384479 6371.21046936737 5.77887389569941
"10" 310000.517083195 3 1 989.602242023457 7049.73501047221 1 0 0 3 7 990.417866879624 0 1967 0 98034 1198.45813743521 8124.39838035284 5.49136241824134
"11" 394999.632119937 3 1.75 1741.55313752123 6219.23898381558 1 0 0 4 6 1739.52549767269 0 1954 0 98177 1629.74061235153 8419.74138083583 5.59659669114961
"12" 438000.90841103 4 2.5 1969.07760186529 8544.80068621223 2 0 0 3 8 1969.99368482514 1.55667759836643 2004 0 98059 2589.86273559387 7200.28781852292 5.64147501122896
"13" 324997.710081891 2 1 1070.19370323444 5078.77368118105 1 0 0 5 6 1070.6140187978 1.12538755682899 1942 0 98106 900.403036782311 5079.4758954992 5.51188030097179
"14" 550001.32006821 4 2.75 2230.61712390871 9458.83549013755 1 0 0 5 7 1478.59340962573 751.032783194998 1960 0 98027 1761.62116541404 10877.6430887949 5.74036373185361
"15" 1764998.40323306 4 3.25 3980.17106934271 10248.2162991531 2 0 0 3 10 3979.63475209223 0 2011 0 98004 2449.71283130015 10912.7757435483 6.24674431682447
"16" 489998.730911479 4 2.5 3629.15135635058 8386.73529196081 2 0 0 3 10 3631.03605114545 0 1997 0 98042 3372.39232835524 8868.16648672689 5.69019495521452
"17" 600000.246594586 3 2.25 2097.83062156327 8274.57150200274 2 0 1 4 8 2099.88079246372 0 1979 0 98008 2420.82201992771 18134.7149690255 5.77815142887472
"18" 1160999.75284109 4 2.5 2960.7533791309 26741.0370775147 1 0 3 3 8 1479.81329552274 1479.75568067804 1949 1996 98115 2500.38611480415 9459.42549708129 6.064832127284
"19" 262001.796122024 3 2.5 1971.40183159503 8727.00248660937 2 0 0 3 7 1970.95996053245 0 1995 0 98092 1670.21520971545 9166.51979076812 5.41830426858391
"20" 436498.986720682 5 3 3111.18343852746 12429.929745738 1 0 0 3 8 1790.33318122042 1322.69218569794 1977 0 98011 3049.55196497056 11901.9864394577 5.63998323988093
"21" 765000.578386207 4 2.25 2560.2118537533 12100.1377325229 1 0 0 4 8 1759.15547493646 800.192305019539 1976 0 98052 2240.27898913116 12099.2877577799 5.88366176350635
"22" 175004.272003378 3 1.5 1389.64655716901 1881.99375241554 2 0 0 3 7 1390.07986613776 0.447231815823721 2014 0 98108 1488.64945174145 2173.92966415948 5.243048650314
"23" 515000.702290552 3 2.25 1302.57121884435 1180.05120566398 3 0 0 3 8 1299.59515943869 1.26535257060216 2008 0 98103 1300.09728642054 1173.29403116459 5.71180782127557
"24" 1049999.26839194 3 4 4380.10653203884 42769.429779654 2 0 0 5 11 4379.93022877341 0 1983 0 98052 3630.44002555542 35427.609609839 6.02118899646665
"25" 499951.534672817 3 1.5 1350.40100276976 9314.79438040741 1 0 0 3 7 1350.86063740982 0 1968 0 98052 1841.3403341836 9919.26326101873 5.69892790584735
"26" 849999.509966602 3 3 1910.75952049335 4799.16803646277 1.5 0 0 3 9 1911.08518364841 1.05572655518613 1900 1991 98103 1278.69231818092 1310.9768877406 5.92941867533916
"27" 352500.566014136 3 1.75 1862.40303700465 7880.20253920777 1 0 0 3 7 1159.26041613579 699.257980037826 1986 0 98198 1489.10008452046 7525.46834446382 5.54715981867953
